Date,Open,High,Low,Close,Volume
28-Mar-17,5.65,5.8,5.5,5.55,643800
29-Mar-17,5.55,6.0,5.4,5.85,1078100
30-Mar-17,5.85,6.05,5.6,5.6,1123700
31-Mar-17,5.65,5.85,5.6,5.75,421800
03-Apr-17,5.65,5.8,5.33,5.35,837300
04-Apr-17,5.4,5.43,5.05,5.15,673600
05-Apr-17,5.15,5.45,5.1,5.15,575500
06-Apr-17,5.15,5.45,5.05,5.25,637300
07-Apr-17,5.3,5.35,5.1,5.2,423400
10-Apr-17,5.2,5.48,5.13,5.15,657600
11-Apr-17,5.15,5.25,4.85,5.15,958400
12-Apr-17,5.15,5.25,5.0,5.0,212900
13-Apr-17,5.0,5.15,4.85,4.85,431500
